date,demand
1/1/2019,827.76
1/1/2019,830.26
1/1/2019,831.51
1/1/2019,839.69
1/1/2019,848.67
1/1/2019,874.46
1/1/2019,907.06
1/1/2019,930.81
1/1/2019,954.01
1/1/2019,980.07
1/1/2019,992.92
1/1/2019,993.25
1/1/2019,978.51
1/1/2019,967.56
1/1/2019,960.32
1/1/2019,963.57
1/1/2019,980.23
1/1/2019,"1,036.23"
1/1/2019,"1,060.54"
1/1/2019,"1,054.58"
1/1/2019,"1,049.37"
1/1/2019,"1,030.56"
1/1/2019,992.66
1/1/2019,965.2
1/2/2019,938.64
1/2/2019,926.05
1/2/2019,918.48
1/2/2019,925.79
1/2/2019,944.33
1/2/2019,989.21
1/2/2019,"1,040.53"
1/2/2019,"1,082.01"
1/2/2019,"1,102.65"
1/2/2019,"1,121.42"
1/2/2019,"1,135.35"
1/2/2019,"1,135.49"
1/2/2019,"1,125.79"
1/2/2019,"1,130.91"
1/2/2019,"1,125.77"
1/2/2019,"1,130.56"
1/2/2019,"1,131.80"
1/2/2019,"1,144.92"
1/2/2019,"1,148.59"
1/2/2019,"1,130.15"
1/2/2019,"1,108.08"
1/2/2019,"1,065.61"
1/2/2019,"1,020.80"
1/2/2019,978.1
1/3/2019,952.18
1/3/2019,935.26
1/3/2019,934.34
1/3/2019,937.1
1/3/2019,953.25
1/3/2019,980.57
1/3/2019,"1,017.68"
1/3/2019,"1,044.09"
1/3/2019,"1,049.59"
1/3/2019,"1,057.47"
1/3/2019,"1,063.62"
1/3/2019,"1,060.64"
1/3/2019,"1,047.28"
1/3/2019,"1,036.95"
1/3/2019,"1,021.88"
1/3/2019,"1,011.61"
1/3/2019,"1,007.43"
1/3/2019,"1,033.42"
1/3/2019,"1,055.27"
1/3/2019,"1,039.28"
1/3/2019,"1,023.16"
1/3/2019,996.58
1/3/2019,956.91
1/3/2019,922.31
1/4/2019,907.43
1/4/2019,898.69
1/4/2019,893.49
1/4/2019,900.47
1/4/2019,915.21
1/4/2019,953.64
1/4/2019,"1,000.28"
1/4/2019,"1,026.23"
1/4/2019,"1,013.11"
1/4/2019,982.98
1/4/2019,947.78
1/4/2019,910.42
1/4/2019,868.42
1/4/2019,846.97
1/4/2019,813.24
1/4/2019,790.09
1/4/2019,784.99
1/4/2019,810.87
1/4/2019,848.32
1/4/2019,858.39
1/4/2019,870.97
1/4/2019,870.37
1/4/2019,853.56
1/4/2019,831.3
1/5/2019,816.65
1/5/2019,812.47
1/5/2019,813.46
1/5/2019,820.83
1/5/2019,838.48
1/5/2019,873.54
1/5/2019,909.89
1/5/2019,944.72
1/5/2019,943.15
1/5/2019,900.6
1/5/2019,853.2
1/5/2019,809.69
1/5/2019,764.3
1/5/2019,735.99
1/5/2019,715.77
1/5/2019,698.78
1/5/2019,697.01
1/5/2019,729.02
1/5/2019,774.59
1/5/2019,774.46
1/5/2019,769
1/5/2019,768.5
1/5/2019,749.91
1/5/2019,736.27
1/6/2019,721.88
1/6/2019,715.07
1/6/2019,714.47
1/6/2019,717.82
1/6/2019,727.35
1/6/2019,742.56
1/6/2019,774.52
1/6/2019,804.25
1/6/2019,817.63
1/6/2019,801.49
1/6/2019,774.23
1/6/2019,755.8
1/6/2019,742.67
1/6/2019,728.95
1/6/2019,714.42
1/6/2019,709.85
1/6/2019,718
1/6/2019,749.28
1/6/2019,782.4
1/6/2019,779.31
1/6/2019,765.92
1/6/2019,740.73
1/6/2019,700.73
1/6/2019,666.3
1/7/2019,636.29
1/7/2019,617.74
1/7/2019,613.6
1/7/2019,615.84
1/7/2019,628.76
1/7/2019,658.39
1/7/2019,715.89
1/7/2019,747.71
1/7/2019,752.18
1/7/2019,750.86
1/7/2019,752.25
1/7/2019,745.24
1/7/2019,739.64
1/7/2019,737.72
1/7/2019,730.48
1/7/2019,720.63
